TYPOLOGY,CONTINENT,COUNTRY,REGIONE 1,CITTÀ ,NAT-REG-LOC,SOSPECTED CAUSE,DECLARED CAUSE,DEMOCRACY INDEX,GOVERNMENT,DURATION IN DAYS,START DATE,FREEDOM INDEX ,STATUS,FONTI PRIMARIE,FONTI SECONDARIE,,,,,,,,,,
Not Technical,Asia,India,Rajasthan,Bundi,Local,Protest/Clashes,Public Safety,7.23,Flawed Democracy,2,1/2/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",None,Regional,Political Instability,Nothing Declared,7.23,Flawed Democracy,4,1/24/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",None,Regional,Protest/Clashes,Information Control,7.23,Flawed Democracy,1,1/25/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,Uttar Pradesh,None,Regional,Political Instability,Information Control,7.23,Flawed Democracy,1,1/27/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",None,Regional,Protest/Clashes,Public Safety,7.23,Flawed Democracy,Unknown,1/28/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,Maharashtra,Aurangabad,Local,Protest/Clashes,Public Safety,7.23,Flawed Democracy,<1,1/3/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,Maharashtra,Kolhapur,Local,Protest/Clashes,Information Control,7.23,Flawed Democracy,1,1/4/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",Budgam,Local,Political Instability,Information Control,7.23,Flawed Democracy,<1,1/8/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",South Kashmir,Local,Political Events,Nothing Declared,7.23,Flawed Democracy,1,10/10/2018,5,Free,https://internetshutdowns.in,https://www.indiatoday.in/india/jammu-and-kashmir/story/phase-2-of-municipal-polls-in-jammu-and-kashmir-advanced-by-an-hour-mobile-internet-suspended-in-parts-1359887-2018-10-10,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",Kupwara,Regional,Protest/Clashes,Nothing Declared,7.23,Flawed Democracy,4,10/11/2018,5,Free,https://internetshutdowns.in,,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",Srinagar,Regional,Protest/Clashes,Information Control,7.23,Flawed Democracy,1,10/17/2018,5,Free,https://internetshutdowns.in,,,,,,,,,,,
Not technical,Asia,India,Bihar,Sitamarhi,Local,Protest/Clashes,Information Control,7.23,Flawed Democracy,1,10/20/2018,5,Free,https://internetshutdowns.in,,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",Kulgam,Regional,Political instability,Information Control,7.23,Flawed Democracy,1,10/21/2018,5,Free,https://internetshutdowns.in,https://www.indiatoday.in/india/story/sitamarhi-madhuban-bihar-durga-puja-idol-immersion-clashes-sec-144-1371890-2018-10-20,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",Srinagar,Regional,Political Instability,Information Control,7.23,Flawed Democracy,1,10/24/2018,5,Free,https://internetshutdowns.in,,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",Baramulla,Regional,Protest/Clashes,Public Safety,7.23,Flawed Democracy,1,10/26/2018,5,Free,https://internetshutdowns.in,,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",Pulwama,Regional,Political Events,Political Events,7.23,Flawed Democracy,2,10/6/2018,5,Free,https://internetshutdowns.in,,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu","Bagdam, Kishtwar",Regional,Protest/Clashes,Information Control,7.23,Flawed Democracy,1,11/1/2018,5,Free,https://internetshutdowns.in,,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",Pulwama,Regional,Protest/Clashes,Information Control,7.23,Flawed Democracy,1,11/10/2018,5,Free,https://internetshutdowns.in,,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",Shupiyan,Regional,Protest/Clashes,Information Control,7.23,Flawed Democracy,1,11/20/2018,5,Free,https://internetshutdowns.in,,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",Anantnag,Regional,Protest/Clashes,Information Control,7.23,Flawed Democracy,1,11/23/2018,5,Free,https://internetshutdowns.in,,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",Budgam,Regional,Protest/Clashes,Information Control,7.23,Flawed Democracy,1,11/27/2018,5,Free,https://internetshutdowns.in,,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",Shopian,Regional,Protest/Clashes,Information Control,7.23,Flawed Democracy,1,11/28/2018,5,Free,https://internetshutdowns.in,,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",Baramulla,Regional,Protest/Clashes,Information Control,7.23,Flawed Democracy,1,12/13/2018,5,Free,https://internetshutdowns.in,,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",Pulwama,Regional,Protest/Clashes,Information Control,7.23,Flawed Democracy,1,12/15/2018,5,Free,https://internetshutdowns.in,,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",Awantipora,Regional,Military Operation,Public Safety,7.23,Flawed Democracy,1,12/26/2018,5,Free,https://internetshutdowns.in,,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",None,Local,Protest/Clashes,Protest/Clashes,7.23,Flawed Democracy,1,12/3/2018,5,Free,https://internetshutdowns.in,,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",Mujgund,Regional,Protest/Clashes,Information Control,7.23,Flawed Democracy,1,12/8/2018,5,Free,https://internetshutdowns.in,,,,,,,,,,,
Not Technical,Asia,India,Rajasthan,None,Regional,School Exams,School Exams,7.23,Flawed Democracy,<1,2/11/2018,5,Free,Access now ed Economist Intellicence Unit,https://internetshutdowns.in,,,,,,,,,,
Not Technical,Asia,India,Uttar Pradesh,Firozabad,Local,Political Instability,Information Control,7.23,Flawed Democracy,<1,2/16/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,Rajasthan,Tonk,Local,Protest/Clashes,Public Safety,7.23,Flawed Democracy,1,2/18/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",Baramulla,Local,Military Operation,Protest/Clashes,7.23,Flawed Democracy,<1,2/3/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",Bandipora,Local,Political Instability,Information Control,7.23,Flawed Democracy,<1,3/1/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,Bihar,Bhagalpur,Local,Protest/Clashes,Public Safety,7.23,Flawed Democracy,Unknown,3/17/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,Rajasthan,Tonk,Local,Protest/Clashes,Public Safety,7.23,Flawed Democracy,1,3/18/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",None,Regional,Political Instability,Nothing Declared,7.23,Flawed Democracy,<1,3/24/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,Odisha,Bhadrak,Local,Celebration,Public Safety,7.23,Flawed Democracy,2,3/24/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",None,Regional,Political Instability,Public Safety,7.23,Flawed Democracy,1,3/25/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,Bihar,Aurangabad,Local,Protest/Clashes,Information Control,7.23,Flawed Democracy,1,3/26/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,West Bengal,Paschim Bardhaman,Local,Protest/Clashes,Information Control,7.23,Flawed Democracy,1,3/28/2018,5,Free,https://internetshutdowns.in,,,,,,,,,,,
Not Technical,Asia,India,Bihar,Samastipur,Local,Protest/Clashes,Information Control,7.23,Flawed Democracy,Unknown,3/29/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,Rajasthan,Bundi,Local,Celebration,Information Control,7.23,Flawed Democracy,Unknown,3/30/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,Bihar,Nawada,Local,Protest/Clashes,Public Safety,7.23,Flawed Democracy,Unknown,3/30/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,Rajasthan,Jaitaran,Local,Protest/Clashes,Public Safety,7.23,Flawed Democracy,2,3/31/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",None,Regional,Protest/Clashes,Information Control,7.23,Flawed Democracy,3,3/4/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,Uttar Pradesh,None,Regional,Protest/Clashes,Public Safety,7.23,Flawed Democracy,Unknown,3/4/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",Baramulla,Local,Protest/Clashes,Public Safety,7.23,Flawed Democracy,<1,3/8/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",None,Local,Political Instability,Information Control,7.23,Flawed Democracy,1,4/1/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,Punjab,None,Regional,Protest/Clashes,Public Safety,7.23,Flawed Democracy,<1,4/1/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,Uttar Pradesh,Saharanpur,Local,Protest/Clashes,Public Safety,7.23,Flawed Democracy,Unknown,4/10/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,Rajasthan,None,Regional,Protest/Clashes,Public Safety,7.23,Flawed Democracy,<1,4/10/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",None,Regional,Political Instability,Public Safety,7.23,Flawed Democracy,2,4/11/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,Punjab,None,Regional,Political Instability,Public Safety,7.23,Flawed Democracy,3,4/14/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,Rajasthan,Karauli,Local,Protest/Clashes,Public Safety,7.23,Flawed Democracy,<1,4/14/2018,5,Free,https://internetshutdowns.in,,,,,,,,,,,
Not Technical,Asia,India,Uttar Pradesh,Meerut,Local,Protest/Clashes,Information Control,7.23,Flawed Democracy,1,4/14/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",None,Regional,No Data,Information Control,7.23,Flawed Democracy,<1,4/17/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,"Rajasthan, Madhya Pradesh",None,Regional,Protest/Clashes,Public Safety,7.23,Flawed Democracy,2,4/2/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",Rajouri,Local,Protest/Clashes,Information Control,7.23,Flawed Democracy,<1,4/20/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",None,Regional,Protest/Clashes,Information Control,7.23,Flawed Democracy,<1,4/20/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",Pulwama,Local,Political Instability,Information Control,7.23,Flawed Democracy,Unknown,4/24/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,Punjab,None,Regional,Protest/Clashes,Public Safety,7.23,Flawed Democracy,1,4/29/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu","Shupiyan, Pulwama, Kulgam, Anantnag, Ganderbal",Local,Political Instability,Public Safety,7.23,Flawed Democracy,5,4/3/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,Uttar Pradesh,None,Regional,Protest/Clashes,Information Control,7.23,Flawed Democracy,1,4/3/2018,5,Free,https://internetshutdowns.in,https://timesofindia.indiatimes.com/city/agra/-violence-rocks-west-up-dists-2-killed-over-500-held/articleshow/63586096.cms,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",None,Regional,Protest/Clashes,Information Control,7.23,Flawed Democracy,Unknown,4/30/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,Madhya Pradesh,"Gwalior, Bhind, Morena, Jabalpur",Local,Protest/Clashes,Public Safety,7.23,Flawed Democracy,1,4/9/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,Rajasthan,Jaipur,Local,Protest/Clashes,Information Control,7.23,Flawed Democracy,1,4/9/2018,5,Free,https://internetshutdowns.in,,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",Badgam,Local,Military Operation,Information Control,7.23,Flawed Democracy,Unknown,5/11/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",Pulwama,Local,Political Instability,Information Control,7.23,Flawed Democracy,Unknown,5/12/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,Haridwar,Hatshyampur,Local,Protest/Clashes,Public Safety,7.23,Flawed Democracy,Unknown,5/12/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,Maharashtra,Aurangabad,Local,Protest/Clashes,Public Safety,7.23,Flawed Democracy,<1,5/12/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,Uttarakhand,None,Regional,Protest/Clashes,Information Control,7.23,Flawed Democracy,Unknown,5/12/2018,5,Free,https://internetshutdowns.in,https://www.hindustantimes.com/dehradun/dalit-youth-killed-allegedly-over-use-of-canal-water-in-haridwar-village/story-1gDYcUM0u9AM3OmaGo2BIN.html,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",None,Regional,Political Events,Information Control,7.23,Flawed Democracy,<1,5/19/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,"Thoothukudi, Tirunelveli, Kanyakumari",None,Regional,Protest/Clashes,Public Safety,7.23,Flawed Democracy,<1,5/24/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",Pulwama,Local,Protest/Clashes,Public Safety,7.23,Flawed Democracy,Unknown,5/27/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,Uttar Pradesh,Aligarh,Local,Protest/Clashes,Public Safety,7.23,Flawed Democracy,Unknown,5/4/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,Uttar Pradesh,Saharanpur,Local,Protest/Clashes,Public Safety,7.23,Flawed Democracy,Unknown,5/9/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,Meghalaya,None,Regional,Protest/Clashes,Public Safety,7.23,Flawed Democracy,Unknown,6/1/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",Kulgam,Regional,Protest/Clashes,Information Control,7.23,Flawed Democracy,1,6/18/2018,5,Free,https://internetshutdowns.in,https://thekashmirpress.com/2018/06/18/mobile-internet-suspended-in-anantnag-kulgam/,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu","Shopia, Pulwama, Anantang",Regional,Protest/Clashes,Public Safety,7.23,Flawed Democracy,1,6/25/2018,5,Free,https://internetshutdowns.in,,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",None,Regional,Protest/Clashes,Public Safety,7.23,Flawed Democracy,Unknown,6/6/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,Assam,Guwahati,Local,Protest/Clashes,Information Control,7.23,Flawed Democracy,<1,6/8/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,Meghalaya,None,Regional,Protest/Clashes,Information Control,7.23,Flawed Democracy,2,6/8/2018,5,Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Asia,India,Kashmir,Kundlan,Regional,Protest/Clashes,Public Safety,7.23,Flawed Democracy,1,7/10/2018,5,Free,https://internetshutdowns.in,,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",Kupwara,Local,Protest/Clashes,Public Safety,7.23,Flawed Democracy,1,7/12/2018,5,Free,https://internetshutdowns.in/,,,,,,,,,,,
Not Technical,Asia,India,Rajasthan,None,Local,School Exams,School Exams,7.23,Flawed Democracy,2,7/14/2018,5,Free,https://internetshutdowns.in,https://kashmirlife.net/trehgam-killing-mobile-internet-services-suspended-in-north-kashmir-parts-180304/,,,,,,,,,,
Not Technical,Asia,India,Gujarat,"Morbi, Surendranagar",Regional,Political instability,Information Control,7.23,Flawed Democracy,4,7/14/2018,5,Free,https://internetshutdowns.in,,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu","Anantnag, Kulgam",Regional,Protest/Clashes,Information Control,7.23,Flawed Democracy,<1,7/22/2018,5,Free,https://internetshutdowns.in,,,,,,,,,,,
Not Technical,Asia,India,Maharashtra,None,Local,Protest/Clashes,Information Control,7.23,Flawed Democracy,1,7/24/2018,5,Free,https://internetshutdowns.in,,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",Anantang,Regional,Protest/Clashes,Information Control,7.23,Flawed Democracy,1,7/25/2018,5,Free,https://internetshutdowns.in,,,,,,,,,,,
Not Technical,Asia,India,Maharashtra,Navi Mumbai,Regional,Information Control,Information Control,7.23,Flawed Democracy,1,7/26/2018,5,Free,https://internetshutdowns.in,,,,,,,,,,,
Not Technical,Asia,India,Kashmir,Kulgam,Regional,Protest/Clashes,Information Control,7.23,Flawed Democracy,1,7/7/2018,5,Free,https://internetshutdowns.in,,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",None,Local,Protest/Clashes,Protest/Clashes,7.23,Flawed Democracy,1,7/8/2018,5,Free,https://internetshutdowns.in,,,,,,,,,,,
Not Technical,Asia,India,Rajasthan,Tunk,Regional,Protest/Clashes,Information Control,7.23,Flawed Democracy,Unknown,8//2018,5,Free,https://internetshutdowns.in,,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",Srinagar,Regional,Protest/Clashes,Information Control,7.23,Flawed Democracy,<1,8/12/2018,5,Free,https://internetshutdowns.in,,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",None,Local,Protest/Clashes,Information Control,7.23,Flawed Democracy,<1,8/15/2018,5,Free,https://internetshutdowns.in,,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",Bandipora,Regional,Political Instability,Information Control,7.23,Flawed Democracy,1,8/17/2018,5,Free,https://internetshutdowns.in,,,,,,,,,,,
Not Technical,Asia,India,Uttarakhand,None,Regional,Protest/Clashes,Information Control,7.23,Flawed Democracy,1,8/18/2018,5,Free,https://internetshutdowns.in,https://www.indiatoday.in/india/story/minor-gangrape-murder-uttarkashi-uttarakhand-1317927-2018-08-18,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu","Shupiyan, Anantnag",Regional,Protest/Clashes,Information Control,7.23,Flawed Democracy,<1,8/2/2018,5,Free,https://internetshutdowns.in,,,,,,,,,,,
Not Technical,Asia,India,Gujarat,Mahisagar,Regional,Political Events,Information Control,7.23,Flawed Democracy,1,8/21/2018,5,Free,https://internetshutdowns.in,,,,,,,,,,,
Not Technical,Asia,India,Rajasthan,Tonk,Local,Protest/Clashes,Public Safety,7.23,Flawed Democracy,1,8/23/2018,5,Free,https://internetshutdowns.in,https://www.financialexpress.com/india-news/rajasthans-tonk-tense-after-mob-attack-on-kanwariyas-sec-144-imposed-internet-services-suspended/1291114/,,,,,,,,,,
Not Technical,Asia,India,"Kashmir, Jammu",Anantang,Regional,Protest/Clashes,Information Control,7.23,Flawed Democracy,1,8/24/2018,5,Free,https://internetshutdowns.in,https://www.indiatvnews.com/news/india-jammu-kashmir-encounter-anantnag-kokernag-live-updates-gunbattle-casualties-security-forces-terrorists-internet-services-459490,,,,,,,,,,
Not Technical,Asia,India,Rajasthan,Udaipur,Regional,School Exams,School Exams,7.23,Flawed Democracy,<1,8/27/2018,5,Free,https://internetshutdowns.in,,,,,,,,,,,
Not Technical,Asia,India,Saharanpur,Uttar Pradesh,Regional,Protest/Clashes,Information Control,7.23,Flawed Democracy,<1,8/27/2018,5,Free,https://internetshutdowns.in,,,,,,,,,,,
