Artwork;Artist;N°;Contemporary art;Artwork date;Kind of censorship;Social;Image Link;Credits;
The Origin of the World;Gustave Courbet;16;No;1886;Deleted Account;Facebook;;Public Domain;
The Little Mermaid;Edvard Eriksen;8;No;1913;Removed post;Facebook;https://en.wikipedia.org/wiki/File:Copenhagen_-_the_little_mermaid_statue_-_2013.jpg;© Edvard Eriksen;
Ema (nude on a staircase);Gerhard Richter;7;Yes;1966;Removed post;Facebook;http://www.artchive.com/viewer/z.html;Public Domain;
Venus of Willendorf;Unknow;7;No;23.000-19.000 a. C.;Removed post;Facebook;;© Matthias Kabel;
Hellmouth (the hours of Catherine of Cleves);Catherine of Cleves;5;No;1440;Suspended account;Facebook;;Public Domain;
The Napalm Girl ;Nick Ut;4;Yes;1972;Removed post;Facebook;https://timedotcom.files.wordpress.com/2016/09/ap489943708182-resize1.jpg?quality=85&w=1680;© Nick Ut;
Women at Their Toilette;Pablo Picasso;4;No;1956;Blocked Advertising;Facebook;https://rs.1000museums.com/filestore/6/9/8/9_9c59740ac3bc1c5/6989frm_b67d0112395304c.jpg;© Succession Picasso 2010;
Nudity Related Artwork;Anders Zorn;3;No;;Removed post;Facebook;;Public Domain;
Unknown;Kit King;3;Yes;;Removed post;Facebook, Instagram;https://www.instagram.com/kit_king/?hl=it;© Kit King;
The Descent from the Cross;Peter Paul Rubens;3;No;1612-1614;Blocked Advertising;Facebook;;Public Domain;
Fuck Painting #1;Betty Tompkins;2;Yes;1969;Suspended account;Instagram;https://www.centrepompidou.fr/cpv/resource/cn7rerd/rL96RdX;© Philippe Migeat - Centre Pompidou © Betty Tompkins;
Amor Vincit Omnia;Caravaggio;2;No;1602-1603;Suspended account;Facebook;;Public Domain;
100 Muses - Caoimhe Lavelle Photography;Dragana Jurisic;2;Yes;2015;Suspended account;Facebook, Instagram;https://twitter.com/ohmadelaine/status/996291958942457856;© Dragana Jursic;
Ice Cream;Evelyne Axell;2;Yes;1964;Removed post;Facebook;https://www.independent.co.uk/arts-entertainment/art/news/facebook-removes-image-of-evelyne-axells-ice-cream-because-it-is-suggestive-content-a6866986.html;© Evelyne Axell;
Make America Great Again;Illma Gore;2;Yes;2016;Suspended account;Facebook;https://www.facebook.com/illmagore/posts/741288282674295:0;© Illma Gore;
Triangles;Imogen Cunningham;2;No;1928;Removed post;Instagram;https://www.metmuseum.org/art/collection/search/259691;© The Imogen Cunningham Trust;
Sunbath (Alta on the Beach);Imogen Cunningham;2;No;1925;Removed post;Instagram;https://collections.mfa.org/objects/174052;© The Imogen Cunningham Trust;
Self-Portrait with Sculpture;John De Andrea;2;Yes;1980;Suspended account;Facebook;https://www.metmuseum.org/art/collection/search/727479;© Foster Goldstrom;
Imogen and Twinka;Judy Dater;2;Yes;1974;Removed post;Instagram;https://collections.lacma.org/node/196848;© Judy Dater;
Women as Object Project;Kate Durbin;2;Yes;2011-2013;Removed post;Facebook;https://womenasobjects.tumblr.com/;© Kate Durbin;
Are they really pro-life? Religion, Suicide and Hypocrisy;Abby Zeciroski;1;Yes;2018;Blocked Advertising;Facebook;https://www.instagram.com/p/ByvADOkBmty/;© Abby Zeciroski;
Unknown;Alexandra Marzella;1;Yes;;Suspended account;Instagram;https://www.instagram.com/artwerk66666/;© Alexandra Marzella;
Mammography;Alix Marie;1;Yes;2016;Removed post;Instagram;http://alixmarie.com/;© Alix Marie;
Nudity Related Artwork;Alphachanneling;1;Yes;;Removed post, Suspended account;Facebook, Instagram;https://www.instagram.com/alphachanneling/;© Alphachanneling;
"Reclined Nude	";Amedeo Modigliani;1;No;1917;Removed post;Facebook;;Public Domain;
Wrestling, Hornby Island, British Columbia;Barbara Hammer;1;Yes;1972;Removed post;Instagram;https://i-d.vice.com/it/article/7x7nkz/barbara-hammer-cinema-queer-fotografia-intervista;© Barbara Hammer;
Unknown;Betty Tompkins;1;Yes;;Deleted account;Twitter;http://www.gavlakgallery.com/exhibitions/betty-tompkins-sex-works-women-words-phrases-and-stories?view=slider;© Betty Tompkins;
Women Lovers ;Charles Blackman;1;Yes;1980;Blocked Advertising;Facebook;http://www.artnet.com/artists/charles-blackman/women-lovers-b421J0fu0csb9oHkJWNIDA2;© Charles Blackman;
Unknown;Clarity Haynes;1;Yes;;Suspended account;Facebook;https://clarityhaynes.com/home.html;© Clarity Haynes;
