Name ,Description,Genre,IG account,Username,Followers,Posts taken (last),Auto censored photos ,Percentage,from il 10/11 to 20/11,,,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,"The lovely folks  @computerartsmag asked our editor to write about her personal connection with horror & the arts and how it has influenced her work. If you'd like to read her column, get your copy of their is",sue #286 via the link in,our,bio. Ther,e a,re lots of ot,her a,maz,ing,feat,ures so,it's d,efinitely,worth gett,ing,your,hands on it!
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,#darkarts #horroreverydayallday #column #computerarts #graphicdesign #designmatters #designeye #horrormatters #theimportanceoffear #dreadanddesire #macabre #bizarre #obsceneextreme #womeninhorror #womenwholove,horror #horrormagazine #i,ndie,publishin,g #,dreadfulpress,""",538",927,3796,",Arr","ay,19232",924176,64289666,",",,,
,,,,,,,,,,"suspiramagazine,""scream,drewbarrymore,scarymovie,scaredtodeath,favouritescarymovie,horrorfans,horrorfiend,horrormeme,deadbutdelicious,screamqueen,teenhorror,teenslasher,flirttactics,oldiebutgoldie,womeninhorro","r,womenwholovehorror,horr",oral,ldayevery,day,""",photo,https",://ww,w.i,nsta,gram,.com/p/B,qs8_w2,"lJGF,http",s://sconten,t-am,t2-1,".cdninstagram.com/v/t51.2885-15/e35/44871202_308372593337034_1559692131154640710_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com&_nc_cat=106&oh=67ccebc322fb14857c900429f04845ac&oe=5E8C18FA,1543361663,""28-11-2018 00:34"",3,140,""Us flirting 😏"
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,#scream #drewbarrymore #scarymovie #scaredtodeath #favouritescarymovie #horrorfans #horrorfiend #horrormeme #deadbutdelicious #screamqueen #teenhorror #teenslasher #flirttactics #oldiebutgoldie #womeninhorror,#womenwholovehorror #horr,oral,ldayevery,day,""",5389273796,",Array,0.19,2217,9405,55337357,"3,,",,,,,
,,,,,,,,,,"suspiramagazine,""hellodarknessmyoldfriend,darknessfalls,realityisboring,redroom,firewalkwithme,melancholia,strangeandunusual,onebigdarkroom,horrormagazine,womeninhorror,womenwholovehorror,suspiramagazine,blood","lust,icoulddrinkyouup,sus",pira,",sigh,moo","d"",","photo,https:/",/www.,ins,tagr,am.c,om/p/Bqn,5Umhlm,"kU,https:",//scontent-,amt2,#FIELD!,"dninstagram.com/v/t51.2885-15/e35/44765774_2253307018249598_6346849642719780645_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com&_nc_cat=102&oh=70083e139eb15d98b325e35e5607aa67&oe=5E8B8E3E,1543191964,""26-11-2018 01:26"",0,158,""Reality causes insanity...🥀 (and so do looming Mondays) | image by @visioluxus"
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,#hellodarknessmyoldfriend #darknessfalls #realityisboring #redroom #firewalkwithme #melancholia #strangeandunusual #onebigdarkroom #horrormagazine #womeninhorror #womenwholovehorror #suspiramagazine #bloodlust,#icoulddrinkyouup #suspi,ra #,sigh #moo,"d"",","5389273796,Ar","ray,1",920,7558,7050,3168276,",",,,,,
,,,,,,,,,,"suspiramagazine,""forevermood,santanicopandemonium,fromdusktilldawn,salmahayek,mistressofthemacabre,afterdark,shewrithes,snakecharmer,hotlikefuego,robertrodriguez,suspiramagazine,fetishissue,comingsoon,theartof","seduction,juntoaldolorhay",plac,"er,florde",mal,""",photo,https",://ww,w.i,nsta,gram,.com/p/B,qkmxRy,"F0Yt,http",s://sconten,t-am,t2-1,".cdninstagram.com/v/t51.2885-15/e35/45474417_205356990356820_8481354348577136398_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com&_nc_cat=100&oh=5b6885a2e77ec888394ae5ecc78da2f8&oe=5E4BB431,1543081574,""24-11-2018 18:46"",2,325,""#forevermood 🔥🐍"
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,#santanicopandemonium #fromdusktilldawn #salmahayek #mistressofthemacabre #afterdark #shewrithes #snakecharmer #hotlikefuego #robertrodriguez #suspiramagazine #fetishissue #comingsoon #theartofseduction #junto,aldolorhayplacer #flordem,"al"",",538927379,"6,A","rray,19198298",53282,453,37,",",,,,,,,
,,,,,,,,,,"suspiramagazine,""currentmood,seduceanddestroy,darksideofthemoon,fullmoon,sexyseason,comingsoon,fetishissue,leatherandchains,womeninhorror,womenwholovehorror,suspiramagazine,glambeckett,darkarts,iteatsyoualive,","itmakesyouscream"",photo,h",ttps,://www.in,sta,gram.com/p/Bq,f2_Be,FHS,"0,ht",tps:,//sconte,nt-amt,2-1.cdnin,stagram.com,/v/t,51.2,"885-15/e35/45824469_662456587483900_9148870513429602319_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com&_nc_cat=104&oh=a83b318c9c10ffc9e195914b600248b5&oe=5E6B6860,1542922303,""22-11-2018 22:31"",0,252,""Forever obsessed with @glambeckett work and also very #currentmood 🔥 👹 🥂 ⛓️"
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,#seduceanddestroy #darksideofthemoon #fullmoon #sexyseason #comingsoon #fetishissue #leatherandchains #womeninhorror #womenwholovehorror #suspiramagazine #glambeckett #darkarts #iteatsyoualive #itmakesyouscrea,"m"",5389273796,Array,19184",9379,170015352,"4,,",,,,,,,,,,,,
,,,,,,,,,,"suspiramagazine,""launchoftheyear,stackawards,horrormagazine,indiepublishing,dreadfulpress,suspiramagazine,monsterissue,printisnotdead,womeninhorror,womenwholovehorror,horroralldayeveryday,feministhorror,seduce","anddestroy,horror,horrorf","ans,",horrorlit,era,"ture,famousmo",nster,"s,s",tack,awar,"ds2018"",","photo,",https://w,ww.instagra,m.co,m/p/,"Bqao43yF7VD,https://scontent-amt2-1.cdninstagram.com/v/t51.2885-15/e35/45273964_1217319555088911_791500462196329836_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com&_nc_cat=103&oh=d828df4bb47a010483604b0b7c61b967&oe=5E660FB5,1542747141,""20-11-2018 21:52"",17,243,""We're still buzzing and finally have a moment to say how honoured, grateful and excited we are to have won #LaunchoftheYear at this year's #stackawards 🙏🏻 For a feminist horror title to be recognised in this way means so much to us as a team as we've put our blood, sweat and tears into this but it also means we are achieving what we set out to do with Suspira - we're proving that horror has significant value beyond the genre and that the female perspective in it is worth paying attention to. Thank you so much to @stackmagazines and the amazing judges @gymclassmagazine @indiemags for acknowledging that!🖤 Thank you to our small yet incredible Suspira team! Thank you to all the talented and dedicated contributors who were part of our Monster issue and to all our readers who've been enjoying it! 🖤✨🦇 Huge congratulations to the commended titles @archivio_mag and @aigaeyeondesign ✨"
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,"Watch this space, fiends, you ain't seen nothing yet! 🦇🖤",,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,#horrormagazine #indiepublishing #dreadfulpress #suspiramagazine #monsterissue #printisnotdead #womeninhorror #womenwholovehorror #horroralldayeveryday #feministhorror #seduceanddestroy #horror #horrorfans #ho,rrorliterature #famousmon,ster,s #stacka,war,"ds2018"",53892",73796,",Ar","ray,",1917,2442144,692358,"7,,",,,,
,,,,,,,,,,"suspiramagazine,""russmeyer,fasterfasterpussycatkillkill,vixen,mudhoney,mondotopless,turasatana,pamgrier,shebababy,tarantino,mondoagogo,vixens,exploitationcinema,sexploitation,60s,70s,seduceanddestroy,tittytwis","ter"",photo,https://www.in",stag,ram.com/p,/Bq,"PmWyblKdT,htt",ps://,sco,nten,t-am,t2-1.cdn,instag,ram.com/v,/t51.2885-1,5/e3,May-44,"909402_1941100462858915_7130991159585335894_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com&_nc_cat=107&oh=5477cc0daf4239783c972eee05513f57&oe=5E6D06F7,1542376714,""16-11-2018 14:58"",0,59,""Frightday at last! Very excited for this event @fontainesldn tonight!! Can't wait to see another of @dressedtokillyou amazing performances! Who else is coming? It's going to be 🔥 🔥 🔥"
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,"""""Mondo a Go-Go, an ultimate fusion of wonderfully sexual world of Russ Meyer and witty ultra violence of Tarantino. They're the true old school Go-Go club night bringing the wild and torrid Go-Go vixens to da",nce before your eyes to t,he R,"ock, Funk",", G","roove, Surf,",Garag,e a,nd o,ther,random,tunes,spun by D,J The Baron,spi,ced,"up with fantastic video visuals of 60's -70's exploitation cinema."""""
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,#russmeyer #fasterfasterpussycatkillkill #vixen #mudhoney #mondotopless #turasatana #pamgrier #shebababy #tarantino #mondoagogo #vixens #exploitationcinema #sexploitation #60s #70s #seduceanddestroy #tittytwis,"ter"",5389273796,Array,191",3917,58401478,483,",,",,,,,,,,,,,
,,,,,,,,,,"suspiramagazine,""stackawards2018,magazineoftheyear,monsterissue,idolscastinourlikeness,werewolf,vampire,splitpersonality,essay,horrorliterature,horrormagazine,feministhorror,womeninhorror,womenwholovehorror,gr","otesque,dreadfulpress,ind",iepu,"blishing,",dre,"adanddesire,p",rinti,sno,tdea,"d"",p","hoto,htt",ps://w,ww.instag,ram.com/p/B,qLbt,prFR,"Ti,https://scontent-amt2-1.cdninstagram.com/v/t51.2885-15/e35/43672691_271365727058203_7188106655071278449_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com&_nc_cat=107&oh=def97c3203e936a9f2b845c7d686c4e7&oe=5E7131DE,1542236916,""15-11-2018 00:08"",5,190,""""""2018 may glibly be the perfect time for a feminist horror magazine to thrive, but Suspira has taken that grim baton and run with it to create a totally original publication. A magazine that doesn’t trade on tired tropes or rely entirely on contemporary references, as beguiling as it is repellent, Suspira is a powerfully and jarringly-designed journey into the world of the grotesque."""""
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,@stackmagazines thanks so much for this lovely shout out amongst all other amazing magazines shortlisted for the #StackAwards2018 #MagazineoftheYear 🦇✨,,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,Images by @stackmagazines featuring @storiesforghosts beautiful essay Idols Cast In Our Likeness from our #monsterissue Get it! Read it! It's 🔥,,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,#idolscastinourlikeness #werewolf #vampire #splitpersonality #essay #horrorliterature #horrormagazine #feministhorror  #womeninhorror #womenwholovehorror #grotesque #dreadfulpress #indiepublishing #dreadanddes,"ire #printisnotdead"",5389",2737,"96,Array,",191,2.74435E+12,"122,,",,,,,,,,,,
,,,,,,,,,,"suspiramagazine,""fetishissue,monsterissue,suspiramagazine,comingsoon,comingforyou,idontthinkyourereadyforthisjelly,horrormagazine,taboo,fearanddesire,themonstrousfeminine,sexploitation,sexinhorror,deadlywomen,","deadlybutdelicious,womeni",nhor,"ror,women",who,"lovehorror,in",diepu,bli,shin,"g,dr",eadfulpr,"ess"",p","hoto,http",s://www.ins,tagr,am.c,"om/p/BqAxJFUlOXY,https://scontent-amt2-1.cdninstagram.com/v/t51.2885-15/e35/43915408_668701573514233_2218128755164987710_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com&_nc_cat=101&oh=7cce48bc9853559a98bb0888c8828825&oe=5E8142E6,1541879052,""10-11-2018 20:44"",4,326,""We know you're anxiously awaiting the release of our #fetishissue 👀 But are you sure you're ready for it, Fiends? Or are you already bursting with anticipation? 💦 Trust us, the wait will be worth it. You'll enjoy it that much more when you finally hold it in your hands and slowly unravel what we have in store for you🔥👅🔥👅🔥Get ready 🔥"
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,"In the meantime, you're still in time to claim your copy of our #monsterissue before it disappeares back into the swamps forever. You know where to find it.... | image via @metafables",,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,#suspiramagazine #comingsoon #comingforyou #idontthinkyourereadyforthisjelly #horrormagazine #taboo #fearanddesire #themonstrousfeminine #sexploitation #sexinhorror #deadlywomen #deadlybutdelicious #womeninhor,ror #womenwholovehorror #,indi,epublishi,ng,#dreadfulpres,"s"",53",892,7379,"6,Ar","ray,1909",742370,473436632,",,",,,
,,,,,,,,,,"suspiramagazine,""mood,lizardqueen,lizardking,shedyouroldskin,spiritanimals,jimmorrison,thedoors,letloose,frenzy,thesimpsons,lisasimpson,doyouseethingstoo,catchingthebigfish,90s,90skids,diveintothedarkness,give","in,outwithold,inwiththene","w"",p","hoto,http",s:/,/www.instagra,m.com,/p/,Bp5R,lyXF,"OPH,http",s://sc,ontent-am,t2-1.cdnins,tagr,am.c,"om/v/t51.2885-15/e35/42986979_248397795837527_8416456391946904228_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com&_nc_cat=111&oh=f61a9f5cc24680c95892f2422068a56a&oe=5E4D174E,1541627629,""07-11-2018 22:53"",8,432,""#mood 🦎👑 | via @rocknrroll"
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,#lizardqueen #lizardking #shedyouroldskin #spiritanimals #jimmorrison #thedoors #letloose #frenzy #thesimpsons #lisasimpson #doyouseethingstoo #catchingthebigfish #90s #90skids #diveintothedarkness #givein #ou,"twithold #inwiththenew"",5",3892,"73796,Arr","ay,",1.90763E+12,77991,"1,,",,,,,,,,,
,,,,,,,,,,"suspiramagazine,""walkingdead,iwanthemwhentheyaredead,batmobile,lovedisease,cemeterynights,tilldeath,inloveanddeath,santamuerte,womeninhorror,womenwholovehorror,suspiramagazine"",photo,https://www.instagram.com/","p/Bp2hSdgFWtE,https://sco",nten,t-amt2-1.,cdn,instagram.com,/v/t5,1.2,-885,15/e,35/43985,256_17,966091631,3603_132544,1407,2434,"41717_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com&_nc_cat=107&oh=1e0d1cec3eaf2798011a7138abd2acbf&oe=5E5861CC,1541535196,""06-11-2018 21:13"",4,219,""Will you?⛓️| via @call_me_desire"
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,"#walkingdead #iwanthemwhentheyaredead #batmobile #lovedisease #cemeterynights #tilldeath #inloveanddeath #santamuerte #womeninhorror #womenwholovehorror #suspiramagazine"",5389273796,Array,1906857896400218948,,",,,,,,,,,,,,,,,,
,,,,,,,,,,"suspiramagazine,""imisshalloween,waitingforthedarklord,spiderweb,horrorqueen,classichorror,ofthenight,nightcreatures,darknessfalls,welikeitdarkanddank,mistressofthenight,horror"",photo,https://www.instagram.com/","p/Bpz6LAkFmlG,https://sco",nten,t-amt2-1.,cdn,instagram.com,/v/t5,1.2,-885,15/e,35/43731,034_28,439317886,7521_337311,5057,3660,"97561_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com&_nc_cat=105&oh=6ba9fdd31f6888a0f5cea49ee6f6053f&oe=5E53369B,1541447579,""05-11-2018 20:52"",6,402,""Who else is feeling slightly melancholic post-Halloween? | via @nyxturna"
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,"#imisshalloween #waitingforthedarklord #spiderweb #horrorQueen #classichorror #ofthenight #nightcreatures #darknessfalls #welikeitdarkanddank #mistressofthenight #horror"",5389273796,Array,1906122910525188422,,",,,,,,,,,,,,,,,,
,,,,,,,,,,"suspiramagazine,""phenomena,creepers,alltimefave,darioargento,goblin,beautifulhorror,supernatural,creepycrawlies,horrorfilmnight,horroreverydayallday,halloweenisneverover,womeninhorror,womenwholovehorror"",photo",",https://www.instagram.co",m/p/,BpxZPrRl5,"Of,",https://scont,ent-a,mt2,#FIELD!,dnin,stagram.,com/v/,t51.2885-,15/e35/4398,5430,_731,"696313858195_7969863834735864228_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com&_nc_cat=103&oh=bcc2584198f08b1bdf26a3843dacce3c&oe=5E67B7B0,1541363207,""04-11-2018 21:26"",4,277,""In the mood for some Phenomena tonight⚡🖤 anything else we should add to our watchlist?"
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,"#phenomena #creepers #alltimefave #darioargento #goblin #beautifulhorror #supernatural #creepycrawlies #horrorfilmnight #horroreverydayallday #halloweenisneverover #womeninhorror #womenwholovehorror"",538927379","6,Array,19054151457754039","35,,",,,,,,,,,,,,,,
,,,,,,,,,,"suspiramagazine,""workspacegoals,interiordesigngoals,paintitallblack,strangeandunusual,onebigdarkroom,horrormagazine,indiepublishing,monsterissue,fetishissue,darkarts,darksideofpublishing,patronsofpulp,dreadful","press,womenwholovehorror,",wome,ninhorror,",ho",rroralldayeve,ryday,""",p",hoto,",htt",ps://www,.insta,gram.com/,p/BprYGgflj,"uC,h",ttps,"://scontent-amt2-1.cdninstagram.com/v/t51.2885-15/e35/44240609_397338214136548_7176787515970084206_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com&_nc_cat=104&oh=9ae01284d98a99d761243710545baf70&oe=5E69BC74,1541161281,""02-11-2018 13:21"",1,186,""Can you spot us and @sabatmagazine in @grimvr beautiful work space? 🖤🖤🖤"
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,#workspacegoals #interiordesigngoals #paintitallblack #strangeandunusual #onebigdarkroom #horrormagazine #indiepublishing #monsterissue #fetishissue #darkarts #darksideofpublishing #patronsofpulp #dreadfulpres,s #womenwholovehorror #wo,meni,nhorror #,hor,roralldayever,"yday""",0.53,8927,3796,",Array,1",903721,267816971,"138,,",,,
,,,,,,,,,,"suspiramagazine,""everydayishalloween,allhallowseve,samhain,halloween,ghoulsnightout,nightcreatures,vampirr,intheshadows,womeninhorror,womenwholovehorror,horroralldayeveryday,thisishalloween,fledermaus,suspiram","agazine"",photo,https://ww",w.in,stagram.c,om/,p/BpnYAFAl1nD,",http",s:/,/sco,nten,t-amt2-1,.cdnin,stagram.c,om/v/t51.28,85-1,5/e3,"5/44337298_336835237101775_1972194762881548440_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com&_nc_cat=107&oh=2c1af42d7b6a79726e352890fbaba720&oe=5E8364C2,1541027011,""01-11-2018 00:03"",7,579,""Ghoulish Samhain you creatures of the night 🦇 Here's to all of us who live and bleed Halloween all year 🖤"
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,#everydayishalloween #allhallowseve #samhain #halloween #ghoulsnightout #nightcreatures #vampirr #intheshadows #womeninhorror #womenwholovehorror #horroralldayeveryday #thisishalloween #fledermaus #suspiramaga,"zine"",5389273796,Array,19",259,492608221,843,"5,,",,,,,,,,,,,
,,,,,,,,,,"suspiramagazine,""millicentpatrick,monsterissue,creaturefromtheblacklagoon,creaturecreator,womeninhorror,womenwholovehorror,famousmonsters,universalmonsters,classichorror,monsterloverlover,horrormagazine,hallow","eenreads,halloweenliterat","ure""",",photo,ht",tps,://www.instag,ram.c,om/,p/Bp,kLcU,"bllkc,ht",tps://,scontent-,amt2-1.cdni,nsta,gram,".com/v/t51.2885-15/e35/44199525_1923816747926121_7942639310598539368_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com&_nc_cat=109&oh=ca0c26172c3faca4b78fb17a0634218d&oe=5E6D11F7,1540919763,""30-10-2018 18:16"",4,332,""The real mistress of the creature 🖤 #millicentpatrick | via @nightlightakron"
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,"Our #monsterissue features some beautiful monster love, so get your hands on it while you caaaaaaan via our website 🦇",,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,"#creaturefromtheblacklagoon #creaturecreator #womeninhorror #womenwholovehorror #famousmonsters #universalmonsters #classichorror #monsterloverlover #horrormagazine #halloweenreads #halloweenliterature"",538927","3796,Array,19016952672518",3721,"2,,",,,,,,,,,,,,,
,,,,,,,,,,"suspiramagazine,""strongfeels,gabrielferrier,deathclingstous,currentmood,orientalism,grotesque,poetic,mydearmelancholy,womeninhorror,womenwholovehorror,horror,thehorrorofliving"",photo,https://www.instagram.com/","p/BpZnoChF-fM,https://sco",nten,t-amt2-1.,cdn,instagram.com,/v/t5,1.2,-885,15/e,35/43913,644_94,603656225,6054_673844,7946,1224,"94348_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com&_nc_cat=106&oh=73517fb946eee6930ed8f58f9c72cee7&oe=5E717358,1540565440,""26-10-2018 16:50"",0,264,""#strongfeels via @textsfromyourexistentialist"
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,"#gabrielferrier #deathclingstous #currentmood #orientalism #grotesque #poetic #mydearmelancholy #womeninhorror #womenwholovehorror #horror #thehorrorofliving"",5389273796,Array,1898722993209075660,,",,,,,,,,,,,,,,,,
,,,,,,,,,,"suspiramagazine,""currentmood,brideoffrankenstein,elsalanchester,boriskarloff,famousmonsters,universalmonsters,classichorror,everydayishalloween,diediediemydarling,monsterissue,suspiramagazine,horrormagazine,fe","tishissue,comingsoon"",pho","to,h",ttps://ww,w.i,nstagram.com/,p/BpS,P8C,OFzB,"x,ht",tps://sc,ontent,#FIELD!,dninstagram,.com,/v/t,"51.2885-15/e35/43778828_515186675623500_1743200372460851401_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com&_nc_cat=100&oh=f3ea6b3784bb287402b113ec8775072d&oe=5E6A3F5E,1540318140,""23-10-2018 20:09"",5,630,""Very accurate #currentmood"
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,#brideoffrankenstein #elsalanchester #boriskarloff #famousmonsters #universalmonsters #classichorror #everydayishalloween #diediediemydarling #monsterissue #suspiramagazine #horrormagazine #fetishissue #coming,"soon"",5389273796,Array,18",9664,848932655,524,"9,,",,,,,,,,,,,
,,,,,,,,,,"suspiramagazine,""dracula,bramstokersdracula,francisfordcoppola,vampire,creatureofthenight,weliveintheshadows,gothichorror,monsterloverlover,strangelove,monsterissue"",photo,https://www.instagram.com/p/BpHT29plP","G7,https://scontent-amt2-",1.cd,ninstagra,m.c,om/v/t51.2885,#NAME?,35/,4306,5809,_2277973,749100,209_85257,10712147712,214_,n.jp,"g?_nc_ht=scontent-amt2-1.cdninstagram.com&_nc_cat=109&oh=8321240a215a71fb0e78a57fb17c8867&oe=5E8CF372,1539951097,""19-10-2018 14:11"",10,592,""I had a dream last night. It all looked and felt very Bram Stoker's Dracula....but the plot was slightly different. Guess who I was? 🔥"
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,"#dracula #bramstokersdracula #francisfordcoppola #vampire #creatureofthenight #weliveintheshadows #gothichorror #monsterloverlover #strangelove #monsterissue"",5389273796,Array,1893569508263915963,,",,,,,,,,,,,,,,,,
,,,,,,,,,,"suspiramagazine,""thelovewitch,samantharobinson,annabiller,technicolor,melodrama,lovemeordie,seduceanddestroy,fetishissue,suspiramagazine,horrormagazine,comingsoon,womeninhorror,womenwholovehorror,horroralldaye","veryday"",photo,https://ww",w.in,stagram.c,om/,p/Bo18cEAFM0u,",http",s:/,/sco,nten,t-amt2-1,.cdnin,stagram.c,om/v/t51.28,85-1,5/e3,"5/42798636_2274007169489475_1962969170147287644_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com&_nc_cat=103&oh=b236ba58937e75c2c72c745c2fc32717&oe=5E69D7F2,1539368393,""12-10-2018 20:19"",9,479,""Who else is in desperate need of a spa day?"
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,"We're working hard on our upcoming issue and can't wait to share it with you!✨ If we are still alive by then, we'll check out @zodiacfilmclub screening of #thelovewitch on Halloween night🖤",,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,"#samantharobinson #annabiller #technicolor #melodrama #lovemeordie #seduceanddestroy #fetishissue #suspiramagazine #horrormagazine #comingsoon #womeninhorror #womenwholovehorror #horroralldayeveryday"",53892737","96,Array,1888681429984136",494,",",,,,,,,,,,,,,
,,,,,,,,,,"suspiramagazine,""crimsonpeak,grumpygoth,darknessfalls,coldembrace,paintitblack,bathinginmoonlight,fromdusktilldawn,jessicachastain,tomhiddleston,summerisover,getthehint,womeninhorror,womenwholovehorror,horrora","lldayeveryday,ghoststorie","s,gh",ostsarere,"al""",",photo,https:",//www,.in,stag,ram.,com/p/Bo,y_UnAF,"ubt,https",://scontent,#NAME?,2-1.,"cdninstagram.com/v/t51.2885-15/e35/42338530_271816633465246_5793173638418257195_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com&_nc_cat=110&oh=1a60f71b02be06db983ffc4173e24fba&oe=5E4FBDEB,1539269241,""11-10-2018 16:47"",9,805,""Literally us being very over this sun and warmth. Autumn fog where are you!? 🌬️✨🖤"
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
,,,,,,,,,,×,,,,,,,,,,,,,,,,
